SchoolId;SchoolName;SchoolAddress;SchoolZipCode;SchoolCity;SchoolRefNumber;SchoolPhone
232;Ecole primaire - Pierre de Coubertin;34 RUE HENRI DUNANT;28300;MAINVILLIERS;;0237364493
233;Ecole élémentaire;7 RUE DU CHATEAU;28240;MANOU;;0237818264
234;Ecole élémentaire;11 RUE DU DOCTEUR PEAN;28200;MARBOUE;;0237454747
235;Ecole maternelle;21 RUE DU DOCTEUR PEAN;28200;MARBOUE;;0237455307
236;Ecole élémentaire;4 PLACE DE L’EGLISE;28120;MARCHEVILLE;;0237245296
237;Ecole primaire - Robert Doisneau;1 RUE DE LA VIEILLE COUR;28400;MARGON;;0237524422
238;Ecole primaire - Jean Lelievre;5 RUE DE VILLEMEUX;28500;MARVILLE-MOUTIERS-BRULE;;0237383126
239;Ecole maternelle;MEAUCE;28240;MEAUCE;;0237811302
240;Ecole élémentaire;20 RUE JULES FERRY;28360;MESLAY-LE-VIDAME;;0237265054
241;Ecole primaire - Marsauceux;11 RUE DES ECOLES;28500;MEZIERES-EN-DROUAIS;;0237437488
242;Ecole primaire;8 RUE DE LA MAIRIE;28630;MIGNIERES;;0237264795
243;Ecole élémentaire;1 RUE DU MOULIN;28200;MOLEANS;;0237961672
244;Ecole élémentaire - La grive;28 RUE DU HOUSSAY;28800;MONTBOISSIER;;0237473060
245;Ecole élémentaire;28 RUE DE NOGENT-LE-ROTROU;28120;MONTIGNY-LE-CHARTIF;;0237241140
246;Ecole élémentaire;14 RUE GRANDE;28220;MONTIGNY-LE-GANNELON;;0237984395
247;Ecole maternelle;8 RUE DE LA MAIRIE;28240;MONTLANDON;;0237373528
248;Ecole élémentaire;10 RUE DE LA CROIX;28630;MORANCEZ;;0237287926
249;Ecole maternelle;10 BIS RUE DE LA CROIX;28630;MORANCEZ;;0237347589
250;Ecole primaire - des Sources;2 GRANDE RUE;28210;NERON;;0237827832
251;Ecole primaire;RUE MAURICE LESOURD;28630;NOGENT-LE-PHAYE;;0237316184
252;Ecole maternelle - Charles Peguy;2 RUE CHARLES PEGUY;28210;NOGENT-LE-ROI;;0237514432
253;Ecole maternelle - Eugène Mesquite;1 RUE DES JARDINS;28210;NOGENT-LE-ROI;;0237514393
254;Ecole élémentaire - Gaston Couté;1 RUE DES ECOLES;28210;NOGENT-LE-ROI;;0237514075
255;Ecole élémentaire - N°1 Jean Rostand;RUE DU 11 NOVEMBRE;28210;NOGENT-LE-ROI;;0237513515
256;Ecole élémentaire - du Centre;PLACE DE LA REPUBLIQUE;28400;NOGENT-LE-ROTROU;;0237521565
257;Ecole maternelle - du Centre;7 AVENUE GEORGES CLEMENCEAU;28400;NOGENT-LE-ROTROU;;0237520310
258;Ecole maternelle - du Plateau;RUE FLANDRES DUNKERQUE;28400;NOGENT-LE-ROTROU;;0237522265
259;Ecole élémentaire - Georges Brassens;1 CLOS GEORGES BRASSENS;28400;NOGENT-LE-ROTROU;;0237526589
260;Ecole élémentaire - Jean Macé;5 RUE DES ACACIAS;28400;NOGENT-LE-ROTROU;;0237520587
261;Ecole maternelle - Jean Macé;1 RUE DES ACACIAS;28400;NOGENT-LE-ROTROU;;0237521983
262;Ecole élémentaire - Marcel Pagnol;1 RUE MAUTE LELASSEUX;28400;NOGENT-LE-ROTROU;;0237520142
263;Ecole primaire - Paul Langevin;8 RUE PAUL LANGEVIN;28400;NOGENT-LE-ROTROU;;0237530759
264;Ecole primaire;3 PLACE DE LA MAIRIE;28120;NOGENT-SUR-EURE;;0237258148
265;Ecole élémentaire;6 PLACE DEL’EGLISE;28120;NONVILLIERS-GRANDHOUX;;0237245954
266;Ecole élémentaire;1 RUE DE LA POTERIE;28140;NOTTONVILLE;;0237969133
267;Ecole élémentaire;22 RUE DES ECOLES;28140;ORGERES-EN-BEAUCE;;0237998044
268;Ecole maternelle;22 RUE DES ECOLES;28140;ORGERES-EN-BEAUCE;;0237997145
269;Ecole primaire;4 RUE DE LA REPUBLIQUE;28150;OUARVILLE;;0237221225
270;Ecole élémentaire;4 RUE DU LIVIER;28500;OUERRE;;0237823038
271;Ecole primaire;2 RUE DE LA MAIRIE;28260;OULINS;;0237645939
272;Ecole primaire - Chatenat-Oysonville;9 RUE DU MOULIN;28700;OYSONVILLE;;0237246174
273;Ecole élémentaire;1 PLACE SAINT MARTIN;28200;OZOIR-LE-BREUIL;;0237987356
274;Ecole maternelle;11 RUE GERMINAL;28140;PERONVILLE;;0237220719
275;Ecole élémentaire - La clé des champs;LES HAUTES PERREUSES;28130;PIERRES;;0237230357
276;Ecole maternelle - La clé des champs;LES HAUTES PERREUSES;28130;PIERRES;;0237276683
277;Ecole primaire;4 RUE PASTEUR;28190;PONTGOUIN;;0237374450
278;Ecole primaire;27 GRANDE RUE;28360;PRUNAY-LE-GILLON;;0237259363
279;Ecole primaire;81 GRANDE RUE;28220;ROMILLY-SUR-AIGRE;;0237984463
280;Ecole primaire;3 RUE DE LA MAIRIE;28310;ROUVRAY-ST-DENIS;;0237227094
281;Ecole primaire;1 RUE DES SŒURS;28260;ROUVRES;;0237512192
282;Ecole primaire;ROUTE DE VERNEUIL;28270;RUEIL-LA-GADELIERE;;0237624037
283;Ecole primaire - Sainville-Garancières;11 RUE DE LA PORTE D’ETAMPES;28700;SAINVILLE;;0237248106
284;Ecole élémentaire;1 RUE DES ECOLES;28800;SANCHEVILLE;;0237440441
285;Ecole maternelle;1 RUE DES OUCHES;28800;SANCHEVILLE;;0237440476
286;Ecole primaire - Paul Emile Victor;ROUTE DE CRECY;28500;SAULNIERES;;0237436359
287;Ecole primaire;CHEMIN DU ROUVRAY;28260;SAUSSAY;;0237414401
288;Ecole élémentaire - Jacques-Yves Cousteau;1 RUE DE LA MOINERIE;28250;SENONCHES;;0237377747
289;Ecole maternelle;8 RUE DES VALLEES;28250;SENONCHES;;0237377214
290;Ecole élémentaire;1 GRANDE RUE;28410;SERVILLE;;0237431841
291;Ecole élémentaire;1 RUE DE REPUBLIQUE;28330;SOIZE;;0237490449
292;Ecole primaire;35 RUE JEAN MOREAU;28260;SOREL-MOUSSEL;;0237418333
293;Ecole primaire;1 RUE DU 19 MARS;28400;SOUANCE-AU-PERCHE;;0237291638
294;Ecole maternelle - de l’Eveil;10 RUE BOURGEOIS;28630;SOURS;;0237257717
295;Ecole élémentaire - La Vallée;24 RUE ISAMBERT;28630;SOURS;;0237257334
296;Ecole primaire - La clé des champs;2 RUE DE L’ECOLE;28190;ST-ARNOULT-DES-BOIS;;0237225678
297;Ecole élémentaire;6 RUE DE LA MAIRIE;28300;ST-AUBIN-DES-BOIS;;0237329690
298;Ecole maternelle;16 GRANDE RUE;28120;ST-AVIT-LES-GUESPIERES;;0237269162
299;Ecole élémentaire;PLACE DE LA MAIRIE;28330;ST-BOMER;;0237490194
300;Ecole maternelle;30 RUE DES MURGERS;28200;ST-CLOUD-EN-DUNOIS;;0237987503
301;Ecole élémentaire - Maurice Carême;2 PLACE DU LAVOIR;28480;ST-DENIS-D’AUTHOU;;0237495442
302;Ecole élémentaire - Robert Desnos;1 RUE DE LA BRETACHE;28200;ST-DENIS-LES-PONTS;;0237452275
303;Ecole maternelle - Robert Desnos;1 RUE DE LA BRETACHE;28200;ST-DENIS-LES-PONTS;;0237450742
304;Ecole primaire - Michel Sicot;31 ROUTE DE MORONVAL;28500;STE-GEMME-MORONVAL;;0237438022
305;Ecole élémentaire - Jean Moulin;2 RUE DE LA VALLEE;28190;ST-GEORGES-SUR-EURE;;0237267308
306;Ecole maternelle;13 RUE JEAN MOULIN;28190;ST-GEORGES-SUR-EURE;;0237267187
307;Ecole maternelle;24 RUE DU 11 NOVEMBRE;28220;ST-HILAIRE-SUR-YERRE;;0237968672
308;Ecole élémentaire - Boissy;1 PLACE SAINT POL;28210;ST-LAURENT-LA-GATINE;;0237382605
